"region";"address";"aux_address";"latitude";"longitude";"type";"power";"service";"power_kw"
"Noida Authority";"Charger 2, Sector 16: Parking near metro station, sector-16, Noida, UP";"Electric Vehicle Charger, Charger 2, Sector 16: Parking near metro station, sector-16, Noida, UP";28.57738;77.314494;"CCS/ChADEMO/ Type 2 AC";"142kW";"Self Service";142
"ANERT";"DTPC office, thiruvananthapuram,Kerala- 605007";"Electric Vehicle Charger, DTPC office, thiruvananthapuram,Kerala- 605007";8.508339;76.947235;"CCS/ChADEMO/ Type 2 AC";"142kW";"Self Service";142
"NRANVP";"KTDC Tourist Reception Centre Shanmugham road, Ernakulam, Marine drive, Kochi Kerala-682031";"Electric Vehicle Charger, KTDC Tourist Reception Centre Shanmugham road, Ernakulam, Marine drive, Kochi Kerala-682031";9.976921;76.277781;"CCS/ChADEMO/ Type 2 AC";"142kW";"Self Service";142
"NRANVP";"State Council For Child Welfare, CV Raman Pillai Rd, Near Kerala, Housing Board, Thycaud, Thiruvananthapuram, Kerala 695014";"Electric Vehicle Charger, State Council For Child Welfare, CV Raman Pillai Rd, Near Kerala, Housing Board, Thycaud, Thiruvananthapuram, Kerala 695014";8.491622;76.956247;"CCS/ChADEMO/ Type 2 AC";"142kW";"Self Service";142
"CMRL";"Tirumangalam Metro station, Chennai";"Electric Vehicle Charger, Tirumangalam Metro station, Chennai";12.991845;80.141801;"CCS/ChADEMO/ Type 2 AC";"142kW";"Self Service";142
"CMRL";"Tirumangalam Metro station, Chennai";"Electric Vehicle Charger, Tirumangalam Metro station, Chennai";12.991845;80.141801;"CCS/ChADEMO/ Type 2 AC";"142kW";"Self Service";142
"ANERT";"KTDC Tourist Reception Centre Shanmugham road, Ernakulam, Marine drive, Kochi Kerala-682031";"Electric Vehicle Charger, KTDC Tourist Reception Centre Shanmugham road, Ernakulam, Marine drive, Kochi Kerala-682031";9.976921;76.277781;"CCS/ChADEMO/ Type 2 AC";"142kW";"Self Service";142
"NDMC";"Akashvani Bhawan, Sansad Marg, New Delhi 110001";"Electric Vehicle Charger, Akashvani Bhawan, Sansad Marg, New Delhi 110001";28.624516;77.213556;"CCS/ChADEMO/ Type 2 AC";"142kW";"Self Service";142
"NDMC";"Akashvani Bhawan, Sansad Marg, New Delhi 110001";"Electric Vehicle Charger, Akashvani Bhawan, Sansad Marg, New Delhi 110001";28.624516;77.213556;"CCS/ChADEMO/ Type 2 AC";"142kW";"Self Service";142
"NDMC";"FICCI, FICCI Chowk, Mandi House, New Delhi";"Electric Vehicle Charger, FICCI, FICCI Chowk, Mandi House, New Delhi";28.626869;77.231853;"CCS/ChADEMO/ Type 2 AC";"142kW";"Self Service";142
